Timestamp,AccX,AccY,AccZ,AngleX,AngleY,AngleZ,AngularVelX,AngularVelY,AngularVelZ,QW,QX,QY,QZ,MagX,MagY,MagZ,Height,AirPressure,Label
15798,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,0.750047,36.55,109.367,36.55,287454020,287454020,Default
15804,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,0.750047,36.55,109.367,36.55,287454020,287454020,Default
15810,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,0.750047,36.55,109.367,36.55,287454020,287454020,Default
15816,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,0.750047,36.55,109.367,36.55,287454020,287454020,Default
15822,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,0.750047,36.55,109.367,36.55,287454020,287454020,Default
15828,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,0.750047,36.55,109.367,36.55,287454020,287454020,Default
15834,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,0.750047,36.55,109.367,36.55,287454020,287454020,Default
15840,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,0.750047,36.55,109.367,36.55,287454020,287454020,Default
15846,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,0.750047,36.55,109.367,36.55,287454020,287454020,Default
15852,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,0.750047,36.55,109.367,36.55,287454020,287454020,Default
15858,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,0.750047,36.55,109.367,36.55,287454020,287454020,Default
15864,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,0.750047,36.55,109.367,36.55,287454020,287454020,Default
15870,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,0.750047,36.55,109.367,36.55,287454020,287454020,Default
15876,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,0.750047,36.55,109.367,36.55,287454020,287454020,Default
15882,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,0.750047,36.55,109.367,36.55,287454020,287454020,Default
15888,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,0.750047,36.55,109.367,36.55,287454020,287454020,Default
15894,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,0.750047,36.55,109.367,36.55,287454020,287454020,Default
15900,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,0.750047,36.55,109.367,36.55,287454020,287454020,Default
15906,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,0.750047,36.55,109.367,36.55,287454020,287454020,Default
15912,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,0.750047,36.55,109.367,36.55,287454020,287454020,Default
15918,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,0.750047,36.55,109.367,36.55,287454020,287454020,Default
15924,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,0.750047,36.55,109.367,36.55,287454020,287454020,Default
15930,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,0.750047,36.55,109.367,36.55,287454020,287454020,Default
15936,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,0.750047,36.55,109.367,36.55,287454020,287454020,Default
15942,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,0.750047,36.55,109.367,36.55,287454020,287454020,Default
15948,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,0.750047,36.55,109.367,36.55,287454020,287454020,Default
15954,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,0.750047,36.55,109.367,36.55,287454020,287454020,Default
15960,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,0.750047,36.55,109.367,36.55,287454020,287454020,Default
15966,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,0.750047,36.55,109.367,36.55,287454020,287454020,Default
15972,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,0.750047,36.55,109.367,36.55,287454020,287454020,Default
15978,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,0.750047,36.55,109.367,36.55,287454020,287454020,Default
15984,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,0.750047,36.55,109.367,36.55,287454020,287454020,Default
15990,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,0.750047,36.55,109.367,36.55,287454020,287454020,Default
15996,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,0.750047,36.55,109.367,36.55,287454020,287454020,Default
16002,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,0.750047,36.55,109.367,36.55,287454020,287454020,Default
16008,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,0.750047,36.55,109.367,36.55,287454020,287454020,Default
16014,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,0.750047,36.55,109.367,36.55,287454020,287454020,Default
16020,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,0.750047,36.55,109.367,36.55,287454020,287454020,Default
16026,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,0.750047,36.55,109.367,36.55,287454020,287454020,Default
16032,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,0.750047,36.55,109.367,36.55,287454020,287454020,Default
16038,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,716.532,0.750047,36.55,109.367,36.55,287454020,287454020,Default
